name,street,city,state,zip,latitude,longitude,facility_type,offers_methadone,offers_buprenorphine,offers_naltrexone,accepts_medicaid
Endeavor Health Plainfield,24600 West 127th Street,Plainfield,IL,60585,41.652872,-88.2175116,"MH, SA",False,True,True,True
"Family Guidance Center, Inc.",751 Aurora Ave.,Aurora,IL,60505,41.772979,-88.305849,"OTP, SA",True,True,True,True
Gateway Foundation,400 Mercy Lane,Aurora,IL,60506,41.7841968,-88.3230364,SA,False,True,True,True
"Soft Landing Interventions, LLC",28373 Davis Parkway,Warrenville,IL,60555,41.8003512,-88.1764327,"OTP, SA",True,True,True,False
Rosecrance Inc,28371 Davis Parkway,Warrenville,IL,60555,41.8013179,-88.1761661,SA,False,True,True,True
Serenity House Counseling Services Inc,908 Harrison Street,Batavia,IL,60510,41.8398412,-88.3184205,SA,False,True,False,True
Care Addiction Center LLC,1250 Executive Place,Geneva,IL,60134,41.8872731,-88.280958,SA,False,True,True,False
Lighthouse Recovery Inc,210 South 5th Street,Saint Charles,IL,60174,41.9106676,-88.3180466,"MH, SA",False,True,True,True
Recovery Centers of America,300 Cardinal Drive,Saint Charles,IL,60175,41.9172577,-88.3504487,SA,False,True,True,False
Recovery Centers of America,41W400 Silver Glen Road,Saint Charles,IL,60175,41.9730626,-88.420186,SA,True,True,True,False
Greater Family Health,165 East Plank Road,Sycamore,IL,60178,42.0163263579394,-88.6744500086163,"MH, SA",False,True,True,True
LSSI,675 Varsity Drive,Elgin,IL,60120,42.024576,-88.2507588,SA,False,True,False,True
Ecker Center for Behavioral Health,1845 Grandstand Place,Elgin,IL,60123,42.0336124,-88.32283,"MH, SA",False,True,True,True
Greater Family Health,373 Summit Street,Elgin,IL,60120,42.0459945,-88.2776689,"MH, SA",False,True,True,True
Mathers Recovery LLC,420 Airport Road,Elgin,IL,60123,42.070867,-88.293125,SA,True,True,True,True
"Mathers Recovery, LLC",420 Airport Road Suite C,Elgin,IL,60123,42.0708852,-88.2855561,OTP,True,False,False,False
Rosecrance Inc,422 Tracy Court,Crystal Lake,IL,60014,42.2289763,-88.2978822,"MH, SA",False,True,True,True
Rosecrance Inc,874 Pleasant Street,Woodstock,IL,60098,42.325353,-88.463413,SA,False,True,True,False
Mathers Recovery LLC,101 Towne Center Lane,Fox Lake,IL,60020,42.395905,-88.178926,SA,False,True,True,True
